Fort Chipewyan ,AB,CN ,CWPY, 58.77,-111.13
Burns Lake     ,BC,CN ,CWPZ, 54.23,-125.77
Port Alberni (M,BC,CN ,CWQC, 49.25,-124.83
Toronto Headlan,ON,CN ,CWQE, 43.62, -79.35
Rabbit Kettle A,--,CN ,CWQF, 61.97,-127.22
Valcartier     ,QB,CN ,CWQG, 46.90, -71.50
Lennoxville    ,--,CN ,CWQH, 45.37, -71.82
Sedco 710      ,--,CN ,CWQJ, 46.50, -48.50
Race Rocks Auto,BC,CN ,CWQK, 48.30,-123.53
Lethbridge Auto,--,CN ,CWQL, 49.70,-112.78
Cap Rouge      ,QB,CN ,CWQM, 48.38, -70.53
Ile Bicquette  ,QB,CN ,CWQO, 48.42, -68.90
Point Petre (MA,ON,CN ,CWQP, 43.83, -77.15
Lacombe Cda    ,AB,CN ,CWQQ, 52.45,-113.75
Ice Aux Perroqu,QB,CN ,CWQR, 50.22, -64.22
Kindakun Rocks ,BC,CN ,CWQS, 53.32,-132.77
Puinte Claveau ,QB,CN ,CWQV, 48.27, -70.12
Cape Whittle   ,QB,CN ,CWQW, 50.17, -60.07
Hanbury River(A,NT,CN ,CWQY, 63.58,-105.15
Quesnel (AUTO8),BC,CN ,CWQZ, 53.03,-122.53
Cape Race (MARS,NF,CN ,CWRA, 46.65, -53.07
Red Earth      ,AB,CN ,CWRD, 56.53,-115.27
Pelly Bay 1    ,NT,CN ,CWRF, 69.43, -89.73
Resolution Isl ,NT,CN ,CWRH, 61.58, -64.65
Rosetown East  ,SA,CN ,CWRJ, 51.57,-107.92
Bancroft Automa,--,CN ,CWRK, 45.07, -77.87
Rocky House (MA,AB,CN ,CWRM, 52.43,-114.93
Hart Island (MA,NS,CN ,CWRN, 45.35, -60.98
Rose Spit (MAPS,BC,CN ,CWRO, 54.17,-131.67
Nicholson Penin,NT,CN ,CWRP, 69.93,-128.97
Trois Rivieres ,--,CN ,CWRQ, 46.38, -72.62
Rock River (MAP,YK,CN ,CWRR, 66.95,-136.27
Crowsnest      ,AB,CN ,CWRT, 49.63,-114.48
Solander Isl (M,BC,CN ,CWRU, 50.12,-127.93
Camrose        ,AB,CN ,CWRV, 53.03,-112.82
Fourchu Head(MA,NS,CN ,CWRW, 45.72, -60.23
Rowley Island  ,NT,CN ,CWRX, 69.08, -79.03
Milk River     ,AB,CN ,CWRY, 49.13,-112.05
Cap D'Espoir (M,QB,CN ,CWRZ, 48.42, -64.32
Sable Island   ,NS,CN ,CWSA, 43.93, -60.02
Summerside (AUT,PE,CN ,CWSD, 46.43, -63.85
Edmonton/Stony ,AB,CN ,CWSE, 53.55,-114.10
Cap Madeleine(M,QB,CN ,CWSF, 49.25, -65.33
Cap Chat (MAPS),QB,CN ,CWSG, 49.12, -66.65
Sousa Crk(AVT) ,AB,CN ,CWSH, 58.58,-118.50
Simcoe (MARS)  ,ON,CN ,CWSI, 42.85, -80.27
Squamish (AUTO8,BC,CN ,CWSK, 49.78,-123.17
Salmon Arm Auto,BC,CN ,CWSL, 50.70,-119.28
Exeter Radar Si,--,CN ,CWSO, 43.37, -81.38
Sheringham Auto,BC,CN ,CWSP, 48.38,-123.92
Aulvik National,--,CN ,CWSQ, 74.13,-119.98
Spiritwood West,SA,CN ,CWSR, 53.37,-107.55
St. Stephen (MA,NB,CN ,CWSS, 45.20, -67.25
Saglek (bay)   ,NF,CN ,CWST, 58.33, -62.58
Sprague (AUTOB),MB,CN ,CWSU, 49.02, -95.60
Blue River (MAR,BC,CN ,CWSV, 52.10,-119.30
Sparwood/Elk Va,BC,CN ,CWSW, 49.75,-114.88
Sachs Harbour(M,NT,CN ,CWSY, 72.00,-125.27
Fisher Branch(M,MB,CN ,CWSZ, 51.08, -97.55
Mc Tavish (AUT),QB,CN ,CWTA, 45.50, -73.58
Border (MAPS)  ,QB,CN ,CWTB, 55.33, -63.22
Ethelda Bay    ,BC,CN ,CWTC, 53.05,-129.68
Robertson Lake ,NT,CN ,CWTD, 65.10,-102.43
Trout Lake     ,NT,CN ,CWTE, 60.43,-121.23
Beartooth Islan,SA,CN ,CWTF, 59.22,-109.70
Pointe Des Mont,QB,CN ,CWTG, 49.32, -67.38
Cap Tourmente  ,QB,CN ,CWTN, 47.07, -70.80
Toronto Aes Hq ,--,CN ,CWTO, 43.78, -79.47
Tukialik Bay   ,NF,CN ,CWTU, 54.72, -58.35
Tuktoyaktuk    ,NT,CN ,CWTW, 69.45,-133.00
Royal Island   ,ON,CN ,CWTX, 49.47, -94.77
Trois Rivieres ,QB,CN ,CWTY, 46.35, -72.52
Toronto Island ,ON,CN ,CWTZ, 43.63, -79.42
Ste Foy        ,QB,CN ,CWUI, 47.30, -71.27
Quebec Fcst Off,--,CN ,CWUL, 45.50, -73.68
Faro (MARS)    ,YK,CN ,CWUM, 62.23,-133.35
Cape Hooper, N.,--,CN ,CWUP, 68.47, -66.80
Truro (MARS)   ,NS,CN ,CWUR, 45.37, -63.27
Summerland (AUT,BC,CN ,CWUS, 49.57,-119.65
